locale	width	mon	tue	wed	thu	fri	sat	sun
ar	wide	الاثنين	الثلاثاء	الأربعاء	الخميس	الجمعة	السبت	الأحد
ar	abbreviated	الاثنين	الثلاثاء	الأربعاء	الخميس	الجمعة	السبت	الأحد
bg	wide	понеделник	вторник	сряда	четвъртък	петък	събота	неделя
bg	abbreviated	пн	вт	ср	чт	пт	сб	нд
cs	wide	pondělí	úterý	středa	čtvrtek	pátek	sobota	neděle
cs	abbreviated	po	út	st	čt	pá	so	ne
da	wide	mandag	tirsdag	onsdag	torsdag	fredag	lørdag	søndag
da	abbreviated	man.	tirs.	ons.	tors.	fre.	lør.	søn.
de	wide	Montag	Dienstag	Mittwoch	Donnerstag	Freitag	Samstag	Sonntag
de	abbreviated	Mo.	Di.	Mi.	Do.	Fr.	Sa.	So.
de-AT	wide	Montag	Dienstag	Mittwoch	Donnerstag	Freitag	Samstag	Sonntag
de-AT	abbreviated	Mo.	Di.	Mi.	Do.	Fr.	Sa.	So.
de-CH	wide	Montag	Dienstag	Mittwoch	Donnerstag	Freitag	Samstag	Sonntag
de-CH	abbreviated	Mo.	Di.	Mi.	Do.	Fr.	Sa.	So.
el	wide	Δευτέρα	Τρίτη	Τετάρτη	Πέμπτη	Παρασκευή	Σάββατο	Κυριακή
el	abbreviated	Δευ	Τρί	Τετ	Πέμ	Παρ	Σάβ	Κυρ
en	wide	Monday	Tuesday	Wednesday	Thursday	Friday	Saturday	Sunday
en	abbreviated	Mon	Tue	Wed	Thu	Fri	Sat	Sun
en-AU	wide	Monday	Tuesday	Wednesday	Thursday	Friday	Saturday	Sunday
en-AU	abbreviated	Mon	Tue	Wed	Thu	Fri	Sat	Sun
en-CA	wide	Monday	Tuesday	Wednesday	Thursday	Friday	Saturday	Sunday
en-CA	abbreviated	Mon	Tue	Wed	Thu	Fri	Sat	Sun
en-GB	wide	Monday	Tuesday	Wednesday	Thursday	Friday	Saturday	Sunday
en-GB	abbreviated	Mon	Tue	Wed	Thu	Fri	Sat	Sun
en-IE	wide	Monday	Tuesday	Wednesday	Thursday	Friday	Saturday	Sunday
en-IE	abbreviated	Mon	Tue	Wed	Thu	Fri	Sat	Sun
en-NZ	wide	Monday	Tuesday	Wednesday	Thursday	Friday	Saturday	Sunday
en-NZ	abbreviated	Mon	Tue	Wed	Thu	Fri	Sat	Sun
en-ZA	wide	Monday	Tuesday	Wednesday	Thursday	Friday	Saturday	Sunday
en-ZA	abbreviated	Mon	Tue	Wed	Thu	Fri	Sat	Sun
es	wide	lunes	martes	miércoles	jueves	viernes	sábado	domingo
es	abbreviated	lun	mar	mié	jue	vie	sáb	dom
es-AR	wide	lunes	martes	miércoles	jueves	viernes	sábado	domingo
es-AR	abbreviated	lun	mar	mié	jue	vie	sáb	dom
es-CO	wide	lunes	martes	miércoles	jueves	viernes	sábado	domingo
es-CO	abbreviated	lun	mar	mié	jue	vie	sáb	dom
es-MX	wide	lunes	martes	miércoles	jueves	viernes	sábado	domingo
es-MX	abbreviated	lun	mar	mié	jue	vie	sáb	dom
et	wide	esmaspäev	teisipäev	kolmapäev	neljapäev	reede	laupäev	pühapäev
et	abbreviated	E	T	K	N	R	L	P
fi	wide	maanantaina	tiistaina	keskiviikkona	torstaina	perjantaina	lauantaina	sunnuntai
fi	abbreviated	ma	ti	ke	to	pe	la	su
fr	wide	lundi	mardi	mercredi	jeudi	vendredi	samedi	dimanche
fr	abbreviated	lun.	mar.	mer.	jeu.	ven.	sam.	dim.
fr-BE	wide	lundi	mardi	mercredi	jeudi	vendredi	samedi	dimanche
fr-BE	abbreviated	lun.	mar.	mer.	jeu.	ven.	sam.	dim.
fr-CA	wide	lundi	mardi	mercredi	jeudi	vendredi	samedi	dimanche
fr-CA	abbreviated	lun.	mar.	mer.	jeu.	ven.	sam.	dim.
fr-CH	wide	lundi	mardi	mercredi	jeudi	vendredi	samedi	dimanche
fr-CH	abbreviated	lun.	mar.	mer.	jeu.	ven.	sam.	dim.
hr	wide	ponedjeljak	utorak	srijeda	četvrtak	petak	subota	nedjelja
hr	abbreviated	pon	uto	sri	čet	pet	sub	ned
hu	wide	hétfő	kedd	szerda	csütörtök	péntek	szombat	vasárnap
hu	abbreviated	H	K	Sze	Cs	P	Szo	V
it	wide	lunedì	martedì	mercoledì	giovedì	venerdì	sabato	domenica
it	abbreviated	lun	mar	mer	gio	ven	sab	dom
it-CH	wide	lunedì	martedì	mercoledì	giovedì	venerdì	sabato	domenica
it-CH	abbreviated	lun	mar	mer	gio	ven	sab	dom
lt	wide	pirmadienis	antradienis	trečiadienis	ketvirtadienis	penktadienis	šeštadienis	sekmadienis
lt	abbreviated	pr	an	tr	kt	pn	št	sk
lv	wide	pirmdiena	otrdiena	trešdiena	ceturtdiena	piektdiena	sestdiena	svētdiena
lv	abbreviated	pirmd.	otrd.	trešd.	ceturtd.	piektd.	sestd.	svētd.
nb	wide	mandag	tirsdag	onsdag	torsdag	fredag	lørdag	søndag
nb	abbreviated	man.	tir.	ons.	tor.	fre.	lør.	søn.
nl	wide	maandag	dinsdag	woensdag	donderdag	vrijdag	zaterdag	zondag
nl	abbreviated	ma	di	wo	do	vr	za	zo
nl-BE	wide	maandag	dinsdag	woensdag	donderdag	vrijdag	zaterdag	zondag
nl-BE	abbreviated	ma	di	wo	do	vr	za	zo
nn	wide	måndag	tysdag	onsdag	torsdag	fredag	laurdag	søndag
nn	abbreviated	må.	ty.	on.	to.	fr.	la.	sø.
pl	wide	poniedziałek	wtorek	środa	czwartek	piątek	sobota	niedziela
pl	abbreviated	pon.	wt.	śr.	czw.	pt.	sob.	niedz.
pt	wide	segunda-feira	terça-feira	quarta-feira	quinta-feira	sexta-feira	sábado	domingo
pt	abbreviated	seg.	ter.	qua.	qui.	sex.	sáb.	dom.
ro	wide	luni	marți	miercuri	joi	vineri	sâmbătă	duminică
ro	abbreviated	lun.	mar.	mie.	joi	vin.	sâm.	dum.
ru	wide	понедельник	вторник	среда	четверг	пятница	суббота	воскресенье
ru	abbreviated	пн	вт	ср	чт	пт	сб	вс
sk	wide	pondelok	utorok	streda	štvrtok	piatok	sobota	nedeľa
sk	abbreviated	po	ut	st	št	pi	so	ne
sl	wide	ponedeljek	torek	sreda	četrtek	petek	sobota	nedelja
sl	abbreviated	pon.	tor.	sre.	čet.	pet.	sob.	ned.
sr-Latn	wide	ponedeljak	utorak	sreda	četvrtak	petak	subota	nedelja
sr-Latn	abbreviated	pon	uto	sre	čet	pet	sub	ned
sv	wide	måndag	tisdag	onsdag	torsdag	fredag	lördag	söndag
sv	abbreviated	mån	tis	ons	tors	fre	lör	sön
tr	wide	Pazartesi	Salı	Çarşamba	Perşembe	Cuma	Cumartesi	Pazar
tr	abbreviated	Pzt	Sal	Çar	Per	Cum	Cmt	Paz
uk	wide	понеділок	вівторок	середа	четвер	пʼятниця	субота	неділя
uk	abbreviated	пн	вт	ср	чт	пт	сб	нд
aa	wide	Mon	Tue	Wed	Thu	Fri	Sat	Sun
aa	abbreviated	Mon	Tue	Wed	Thu	Fri	Sat	Sun
aa-DJ	wide	Mon	Tue	Wed	Thu	Fri	Sat	Sun
aa-DJ	abbreviated	Mon	Tue	Wed	Thu	Fri	Sat	Sun
aa-ER	wide	Mon	Tue	Wed	Thu	Fri	Sat	Sun
aa-ER	abbreviated	Mon	Tue	Wed	Thu	Fri	Sat	Sun
ab	wide	Mon	Tue	Wed	Thu	Fri	Sat	Sun
ab	abbreviated	Mon	Tue	Wed	Thu	Fri	Sat	Sun
af	wide	Maandag	Dinsdag	Woensdag	Donderdag	Vrydag	Saterdag	Sondag
af	abbreviated	Ma.	Di.	Wo.	Do.	Vr.	Sa.	So.
af-NA	wide	Maandag	Dinsdag	Woensdag	Donderdag	Vrydag	Saterdag	Sondag
af-NA	abbreviated	Ma.	Di.	Wo.	Do.	Vr.	Sa.	So.
agq	wide	tsuʔukpà	tsuʔughɔe	tsuʔutɔ̀mlò	tsuʔumè	tsuʔughɨ̂m	tsuʔndzɨkɔʔɔ	tsuʔntsɨ
agq	abbreviated	kpa	ghɔ	tɔm	ume	ghɨ	dzk	nts
ak	wide	Dwoada	Benada	Wukuada	Yawoada	Fiada	Memeneda	Kwasiada
ak	abbreviated	Dwo	Ben	Wuk	Yaw	Fia	Mem	Kwe
am	wide	ሰኞ	ማክሰኞ	ረቡዕ	ሐሙስ	ዓርብ	ቅዳሜ	እሑድ
am	abbreviated	ሰኞ	ማክሰ	ረቡዕ	ሐሙስ	ዓርብ	ቅዳሜ	እሑድ
an	wide	Mon	Tue	Wed	Thu	Fri	Sat	Sun
an	abbreviated	Mon	Tue	Wed	Thu	Fri	Sat	Sun
ann	wide	Mon	Tue	Wed	Thu	Fri	Sat	Sun
ann	abbreviated	Mon	Tue	Wed	Thu	Fri	Sat	Sun
apc	wide	Mon	Tue	Wed	Thu	Fri	Sat	Sun
apc	abbreviated	Mon	Tue	Wed	Thu	Fri	Sat	Sun
ar-AE	wide	الاثنين	الثلاثاء	الأربعاء	الخميس	الجمعة	السبت	الأحد
ar-AE	abbreviated	الاثنين	الثلاثاء	الأربعاء	الخميس	الجمعة	السبت	الأحد
ar-BH	wide	الاثنين	الثلاثاء	الأربعاء	الخميس	الجمعة	السبت	الأحد
ar-BH	abbreviated	الاثنين	الثلاثاء	الأربعاء	الخميس	الجمعة	السبت	الأحد
ar-DJ	wide	الاثنين	الثلاثاء	الأربعاء	الخميس	الجمعة	السبت	الأحد
ar-DJ	abbreviated	الاثنين	الثلاثاء	الأربعاء	الخميس	الجمعة	السبت	الأحد
ar-DZ	wide	الاثنين	الثلاثاء	الأربعاء	الخميس	الجمعة	السبت	الأحد
ar-DZ	abbreviated	الاثنين	الثلاثاء	الأربعاء	الخميس	الجمعة	السبت	الأحد
ar-EG	wide	الاثنين	الثلاثاء	الأربعاء	الخميس	الجمعة	السبت	الأحد
ar-EG	abbreviated	الاثنين	الثلاثاء	الأربعاء	الخميس	الجمعة	السبت	الأحد
ar-EH	wide	الاثنين	الثلاثاء	الأربعاء	الخميس	الجمعة	السبت	الأحد
ar-EH	abbreviated	الاثنين	الثلاثاء	الأربعاء	الخميس	الجمعة	السبت	الأحد
ar-ER	wide	الاثنين	الثلاثاء	الأربعاء	الخميس	الجمعة	السبت	الأحد
ar-ER	abbreviated	الاثنين	الثلاثاء	الأربعاء	الخميس	الجمعة	السبت	الأحد
ar-IL	wide	الاثنين	الثلاثاء	الأربعاء	الخميس	الجمعة	السبت	الأحد
ar-IL	abbreviated	الاثنين	الثلاثاء	الأربعاء	الخميس	الجمعة	السبت	الأحد
ar-IQ	wide	الاثنين	الثلاثاء	الأربعاء	الخميس	الجمعة	السبت	الأحد
ar-IQ	abbreviated	الاثنين	الثلاثاء	الأربعاء	الخميس	الجمعة	السبت	الأحد
ar-JO	wide	الاثنين	الثلاثاء	الأربعاء	الخميس	الجمعة	السبت	الأحد
ar-JO	abbreviated	الاثنين	الثلاثاء	الأربعاء	الخميس	الجمعة	السبت	الأحد
ar-KM	wide	الاثنين	الثلاثاء	الأربعاء	الخميس	الجمعة	السبت	الأحد
ar-KM	abbreviated	الاثنين	الثلاثاء	الأربعاء	الخميس	الجمعة	السبت	الأحد
ar-KW	wide	الاثنين	الثلاثاء	الأربعاء	الخميس	الجمعة	السبت	الأحد
ar-KW	abbreviated	الاثنين	الثلاثاء	الأربعاء	الخميس	الجمعة	السبت	الأحد
ar-LB	wide	الاثنين	الثلاثاء	الأربعاء	الخميس	الجمعة	السبت	الأحد
ar-LB	abbreviated	الاثنين	الثلاثاء	الأربعاء	الخميس	الجمعة	السبت	الأحد
ar-LY	wide	الاثنين	الثلاثاء	الأربعاء	الخميس	الجمعة	السبت	الأحد
ar-LY	abbreviated	الاثنين	الثلاثاء	الأربعاء	الخميس	الجمعة	السبت	الأحد
ar-MA	wide	الاثنين	الثلاثاء	الأربعاء	الخميس	الجمعة	السبت	الأحد
ar-MA	abbreviated	الاثنين	الثلاثاء	الأربعاء	الخميس	الجمعة	السبت	الأحد
ar-MR	wide	الاثنين	الثلاثاء	الأربعاء	الخميس	الجمعة	السبت	الأحد
ar-MR	abbreviated	الاثنين	الثلاثاء	الأربعاء	الخميس	الجمعة	السبت	الأحد
ar-OM	wide	الاثنين	الثلاثاء	الأربعاء	الخميس	الجمعة	السبت	الأحد
ar-OM	abbreviated	الاثنين	الثلاثاء	الأربعاء	الخميس	الجمعة	السبت	الأحد
ar-PS	wide	الاثنين	الثلاثاء	الأربعاء	الخميس	الجمعة	السبت	الأحد
ar-PS	abbreviated	الاثنين	الثلاثاء	الأربعاء	الخميس	الجمعة	السبت	الأحد
ar-QA	wide	الاثنين	الثلاثاء	الأربعاء	الخميس	الجمعة	السبت	الأحد
ar-QA	abbreviated	الاثنين	الثلاثاء	الأربعاء	الخميس	الجمعة	السبت	الأحد
ar-SA	wide	الاثنين	الثلاثاء	الأربعاء	الخميس	الجمعة	السبت	الأحد
ar-SA	abbreviated	الاثنين	الثلاثاء	الأربعاء	الخميس	الجمعة	السبت	الأحد
ar-SD	wide	الاثنين	الثلاثاء	الأربعاء	الخميس	الجمعة	السبت	الأحد
ar-SD	abbreviated	الاثنين	الثلاثاء	الأربعاء	الخميس	الجمعة	السبت	الأحد
ar-SO	wide	الاثنين	الثلاثاء	الأربعاء	الخميس	الجمعة	السبت	الأحد
ar-SO	abbreviated	الاثنين	الثلاثاء	الأربعاء	الخميس	الجمعة	السبت	الأحد
ar-SS	wide	الاثنين	الثلاثاء	الأربعاء	الخميس	الجمعة	السبت	الأحد
ar-SS	abbreviated	الاثنين	الثلاثاء	الأربعاء	الخميس	الجمعة	السبت	الأحد
ar-SY	wide	الاثنين	الثلاثاء	الأربعاء	الخميس	الجمعة	السبت	الأحد
ar-SY	abbreviated	الاثنين	الثلاثاء	الأربعاء	الخميس	الجمعة	السبت	الأحد
ar-TD	wide	الاثنين	الثلاثاء	الأربعاء	الخميس	الجمعة	السبت	الأحد
ar-TD	abbreviated	الاثنين	الثلاثاء	الأربعاء	الخميس	الجمعة	السبت	الأحد
ar-TN	wide	الاثنين	الثلاثاء	الأربعاء	الخميس	الجمعة	السبت	الأحد
ar-TN	abbreviated	الاثنين	الثلاثاء	الأربعاء	الخميس	الجمعة	السبت	الأحد
ar-YE	wide	الاثنين	الثلاثاء	الأربعاء	الخميس	الجمعة	السبت	الأحد
ar-YE	abbreviated	الاثنين	الثلاثاء	الأربعاء	الخميس	الجمعة	السبت	الأحد
arn	wide	Mon	Tue	Wed	Thu	Fri	Sat	Sun
arn	abbreviated	Mon	Tue	Wed	Thu	Fri	Sat	Sun
as	wide	সোমবাৰ	মঙ্গলবাৰ	বুধবাৰ	বৃহস্পতিবাৰ	শুক্ৰবাৰ	শনিবাৰ	দেওবাৰ
as	abbreviated	সোম	মঙ্গল	বুধ	বৃহ	শুক্ৰ	শনি	দেও
asa	wide	Jumatatu	Jumanne	Jumatano	Alhamisi	Ijumaa	Jumamosi	Jumapili
asa	abbreviated	Jtt	Jnn	Jtn	Alh	Ijm	Jmo	Jpi
ast	wide	llunes	martes	miércoles	xueves	vienres	sábadu	domingu
ast	abbreviated	llu	mar	mié	xue	vie	sáb	dom
az	wide	bazar ertəsi	çərşənbə axşamı	çərşənbə	cümə axşamı	cümə	şənbə	bazar
az	abbreviated	B.e.	Ç.a.	Ç.	C.a.	C.	Ş.	B.
az-Arab	wide	Mon	Tue	Wed	Thu	Fri	Sat	Sun
az-Arab	abbreviated	Mon	Tue	Wed	Thu	Fri	Sat	Sun
az-Arab-IQ	wide	Mon	Tue	Wed	Thu	Fri	Sat	Sun
az-Arab-IQ	abbreviated	Mon	Tue	Wed	Thu	Fri	Sat	Sun
az-Arab-TR	wide	Mon	Tue	Wed	Thu	Fri	Sat	Sun
az-Arab-TR	abbreviated	Mon	Tue	Wed	Thu	Fri	Sat	Sun
az-Cyrl	wide	базар ертәси	чәршәнбә ахшамы	чәршәнбә	ҹүмә ахшамы	ҹүмә	шәнбә	базар
az-Cyrl	abbreviated	Б.Е.	Ч.А.	Ч.	Ҹ.А.	Ҹ.	Ш.	Б.
az-Latn	wide	bazar ertəsi	çərşənbə axşamı	çərşənbə	cümə axşamı	cümə	şənbə	bazar
az-Latn	abbreviated	B.e.	Ç.a.	Ç.	C.a.	C.	Ş.	B.
ba	wide	Mon	Tue	Wed	Thu	Fri	Sat	Sun
ba	abbreviated	Mon	Tue	Wed	Thu	Fri	Sat	Sun
bal	wide	Mon	Tue	Wed	Thu	Fri	Sat	Sun
bal	abbreviated	Mon	Tue	Wed	Thu	Fri	Sat	Sun
bal-Arab	wide	Mon	Tue	Wed	Thu	Fri	Sat	Sun
bal-Arab	abbreviated	Mon	Tue	Wed	Thu	Fri	Sat	Sun
bal-Latn	wide	Doshambeh	Sayshambeh	Chárshambeh	Panchshambeh	Jomah	Shambeh	Yakshambeh
bal-Latn	abbreviated	Do	Say	Chá	Pan	Jom	Sha	Yak
bas	wide	ŋgwà njaŋgumba	ŋgwà ûm	ŋgwà ŋgê	ŋgwà mbɔk	ŋgwà kɔɔ	ŋgwà jôn	ŋgwà nɔ̂y
bas	abbreviated	nja	uum	ŋge	mbɔ	kɔɔ	jon	nɔy
be	wide	панядзелак	аўторак	серада	чацвер	пятніца	субота	нядзеля
be	abbreviated	пн	аў	ср	чц	пт	сб	нд
be-tarask	wide	панядзелак	аўторак	серада	чацвер	пятніца	субота	нядзеля
be-tarask	abbreviated	пн	аў	ср	чц	пт	сб	нд
bem	wide	Palichimo	Palichibuli	Palichitatu	Palichine	Palichisano	Pachibelushi	Pa Mulungu
bem	abbreviated	Palichimo	Palichibuli	Palichitatu	Palichine	Palichisano	Pachibelushi	Pa Mulungu
bew	wide	Mon	Tue	Wed	Thu	Fri	Sat	Sun
bew	abbreviated	Mon	Tue	Wed	Thu	Fri	Sat	Sun
bez	wide	pa shahuviluha	pa hivili	pa hidatu	pa hitayi	pa hihanu	pa shahulembela	pa mulungu
bez	abbreviated	Vil	Hiv	Hid	Hit	Hih	Lem	Mul
bgc	wide	सोमवार	मंगलवार	बुधवार	बृहस्पतवार	शुक्रवार	शनिवार	ऐतवार
bgc	abbreviated	सोमवार	मंगलवार	बुधवार	बृहस्पतवार	शुक्रवार	शनिवार	ऐतवार
bgn	wide	Mon	Tue	Wed	Thu	Fri	Sat	Sun
bgn	abbreviated	Mon	Tue	Wed	Thu	Fri	Sat	Sun
bgn-AE	wide	Mon	Tue	Wed	Thu	Fri	Sat	Sun
bgn-AE	abbreviated	Mon	Tue	Wed	Thu	Fri	Sat	Sun
bgn-AF	wide	Mon	Tue	Wed	Thu	Fri	Sat	Sun
bgn-AF	abbreviated	Mon	Tue	Wed	Thu	Fri	Sat	Sun
bgn-IR	wide	Mon	Tue	Wed	Thu	Fri	Sat	Sun
bgn-IR	abbreviated	Mon	Tue	Wed	Thu	Fri	Sat	Sun
bgn-OM	wide	Mon	Tue	Wed	Thu	Fri	Sat	Sun
bgn-OM	abbreviated	Mon	Tue	Wed	Thu	Fri	Sat	Sun
bho	wide	सोमबार	मंगलबार	बुधबार	बृहस्पतिबार	शुक्रबार	सनीचर	रबीबार
bho	abbreviated	सोमबार	मंगलबार	बुधबार	बृहस्पतिबार	शुक्रबार	सनीचर	रबीबार
blo	wide	aɖɩtɛnɛɛ	atalaata	alaarba	alaamɩshɩ	arɩsǝma	asiibi	alahaɖɩ
blo	abbreviated	aɖɩt	atal	alar	alam	arɩs	asib	alah
blt	wide	Mon	Tue	Wed	Thu	Fri	Sat	Sun
blt	abbreviated	Mon	Tue	Wed	Thu	Fri	Sat	Sun
bm	wide	ntɛnɛ	tarata	araba	alamisa	juma	sibiri	kari
bm	abbreviated	ntɛ	tar	ara	ala	jum	sib	kar
bm-Nkoo	wide	Mon	Tue	Wed	Thu	Fri	Sat	Sun
bm-Nkoo	abbreviated	Mon	Tue	Wed	Thu	Fri	Sat	Sun
bn	wide	সোমবার	মঙ্গলবার	বুধবার	বৃহস্পতিবার	শুক্রবার	শনিবার	রবিবার
bn	abbreviated	সোম	মঙ্গল	বুধ	বৃহস্পতি	শুক্র	শনি	রবি
bn-IN	wide	সোমবার	মঙ্গলবার	বুধবার	বৃহস্পতিবার	শুক্রবার	শনিবার	রবিবার
bn-IN	abbreviated	সোম	মঙ্গল	বুধ	বৃহস্পতি	শুক্র	শনি	রবি
bo	wide	གཟའ་ཟླ་བ་	གཟའ་མིག་དམར་	གཟའ་ལྷག་པ་	གཟའ་ཕུར་བུ་	གཟའ་པ་སངས་	གཟའ་སྤེན་པ་	གཟའ་ཉི་མ་
bo	abbreviated	ཟླ་བ་	མིག་དམར་	ལྷག་པ་	ཕུར་བུ་	པ་སངས་	སྤེན་པ་	ཉི་མ་
bo-IN	wide	གཟའ་ཟླ་བ་	གཟའ་མིག་དམར་	གཟའ་ལྷག་པ་	གཟའ་ཕུར་བུ་	གཟའ་པ་སངས་	གཟའ་སྤེན་པ་	གཟའ་ཉི་མ་
