locale	width	mon	tue	wed	thu	fri	sat	sun
sat	wide	ᱚᱛᱮ	ᱵᱟᱞᱮ	ᱥᱟᱹᱜᱩᱱ	ᱥᱟᱹᱨᱫᱤ	ᱡᱟᱹᱨᱩᱢ	ᱧᱩᱦᱩᱢ	ᱥᱤᱸᱜᱮ
sat	abbreviated	ᱚᱛ	ᱵᱟ	ᱥᱟᱹ	ᱥᱟᱹᱨ	ᱡᱟᱹ	ᱧᱩ	ᱥᱤᱸ
sat-Deva	wide	Mon	Tue	Wed	Thu	Fri	Sat	Sun
sat-Deva	abbreviated	Mon	Tue	Wed	Thu	Fri	Sat	Sun
sat-Olck	wide	ᱚᱛᱮ	ᱵᱟᱞᱮ	ᱥᱟᱹᱜᱩᱱ	ᱥᱟᱹᱨᱫᱤ	ᱡᱟᱹᱨᱩᱢ	ᱧᱩᱦᱩᱢ	ᱥᱤᱸᱜᱮ
sat-Olck	abbreviated	ᱚᱛ	ᱵᱟ	ᱥᱟᱹ	ᱥᱟᱹᱨ	ᱡᱟᱹ	ᱧᱩ	ᱥᱤᱸ
sbp	wide	Jumatatu	Jumanne	Jumatano	Alahamisi	Ijumaa	Jumamosi	Mulungu
sbp	abbreviated	Jtt	Jnn	Jtn	Alh	Iju	Jmo	Mul
sc	wide	lunis	martis	mèrcuris	giòbia	chenàbura	sàbadu	domìniga
sc	abbreviated	lun	mar	mèr	giò	che	sàb	dom
scn	wide	Mon	Tue	Wed	Thu	Fri	Sat	Sun
scn	abbreviated	Mon	Tue	Wed	Thu	Fri	Sat	Sun
sd	wide	سومر	اڱارو	اربع	خميس	جمعو	ڇنڇر	آچر
sd	abbreviated	سومر	اڱارو	اربع	خميس	جمعو	ڇنڇر	آچر
sd-Arab	wide	سومر	اڱارو	اربع	خميس	جمعو	ڇنڇر	آچر
sd-Arab	abbreviated	سومر	اڱارو	اربع	خميس	جمعو	ڇنڇر	آچر
sd-Deva	wide	सूमर	मंगलु	ॿुधर	विस्पत	जुमो	छंछर	आर्तवार
sd-Deva	abbreviated	सू	मंग	बु॒ध	विस	जुम	छंछ	आर्त
sdh	wide	Mon	Tue	Wed	Thu	Fri	Sat	Sun
sdh	abbreviated	Mon	Tue	Wed	Thu	Fri	Sat	Sun
sdh-IQ	wide	Mon	Tue	Wed	Thu	Fri	Sat	Sun
sdh-IQ	abbreviated	Mon	Tue	Wed	Thu	Fri	Sat	Sun
se	wide	vuossárga	maŋŋebárga	gaskavahkku	duorasdat	bearjadat	lávvardat	sotnabeaivi
se	abbreviated	vuos	maŋ	gask	duor	bear	láv	sotn
se-FI	wide	mánnodat	disdat	gaskavahkku	duorastat	bearjadat	lávvordat	sotnabeaivi
se-FI	abbreviated	má	di	ga	du	be	lá	so
se-SE	wide	vuossárga	maŋŋebárga	gaskavahkku	duorasdat	bearjadat	lávvardat	sotnabeaivi
se-SE	abbreviated	vuos	maŋ	gask	duor	bear	láv	sotn
seh	wide	Chiposi	Chipiri	Chitatu	Chinai	Chishanu	Sabudu	Dimingu
seh	abbreviated	Pos	Pir	Tat	Nai	Sha	Sab	Dim
ses	wide	Atinni	Atalaata	Alarba	Alhamiisa	Alzuma	Asibti	Alhadi
ses	abbreviated	Ati	Ata	Ala	Alm	Alz	Asi	Alh
sg	wide	Bïkua-ûse	Bïkua-ptâ	Bïkua-usïö	Bïkua-okü	Lâpôsö	Lâyenga	Bikua-ôko
sg	abbreviated	Bk2	Bk3	Bk4	Bk5	Lâp	Lây	Bk1
shi	wide	ⴰⵢⵏⴰⵙ	ⴰⵙⵉⵏⴰⵙ	ⴰⴽⵕⴰⵙ	ⴰⴽⵡⴰⵙ	ⵙⵉⵎⵡⴰⵙ	ⴰⵙⵉⴹⵢⴰⵙ	ⴰⵙⴰⵎⴰⵙ
shi	abbreviated	ⴰⵢⵏ	ⴰⵙⵉ	ⴰⴽⵕ	ⴰⴽⵡ	ⴰⵙⵉⵎ	ⴰⵙⵉⴹ	ⴰⵙⴰ
shi-Latn	wide	aynas	asinas	akṛas	akwas	asimwas	asiḍyas	asamas
shi-Latn	abbreviated	ayn	asi	akṛ	akw	asim	asiḍ	asa
shi-Tfng	wide	ⴰⵢⵏⴰⵙ	ⴰⵙⵉⵏⴰⵙ	ⴰⴽⵕⴰⵙ	ⴰⴽⵡⴰⵙ	ⵙⵉⵎⵡⴰⵙ	ⴰⵙⵉⴹⵢⴰⵙ	ⴰⵙⴰⵎⴰⵙ
shi-Tfng	abbreviated	ⴰⵢⵏ	ⴰⵙⵉ	ⴰⴽⵕ	ⴰⴽⵡ	ⴰⵙⵉⵎ	ⴰⵙⵉⴹ	ⴰⵙⴰ
shn	wide	Mon	Tue	Wed	Thu	Fri	Sat	Sun
shn	abbreviated	Mon	Tue	Wed	Thu	Fri	Sat	Sun
shn-TH	wide	Mon	Tue	Wed	Thu	Fri	Sat	Sun
shn-TH	abbreviated	Mon	Tue	Wed	Thu	Fri	Sat	Sun
si	wide	සඳුදා	අඟහරුවාදා	බදාදා	බ්‍රහස්පතින්දා	සිකුරාදා	සෙනසුරාදා	ඉරිදා
si	abbreviated	සඳුදා	අඟහ	බදාදා	බ්‍රහස්	සිකු	සෙන	ඉරිදා
sid	wide	Mon	Tue	Wed	Thu	Fri	Sat	Sun
sid	abbreviated	Mon	Tue	Wed	Thu	Fri	Sat	Sun
skr	wide	Mon	Tue	Wed	Thu	Fri	Sat	Sun
skr	abbreviated	Mon	Tue	Wed	Thu	Fri	Sat	Sun
sma	wide	Mon	Tue	Wed	Thu	Fri	Sat	Sun
sma	abbreviated	Mon	Tue	Wed	Thu	Fri	Sat	Sun
sma-NO	wide	Mon	Tue	Wed	Thu	Fri	Sat	Sun
sma-NO	abbreviated	Mon	Tue	Wed	Thu	Fri	Sat	Sun
smj	wide	Mon	Tue	Wed	Thu	Fri	Sat	Sun
smj	abbreviated	Mon	Tue	Wed	Thu	Fri	Sat	Sun
smj-NO	wide	Mon	Tue	Wed	Thu	Fri	Sat	Sun
smj-NO	abbreviated	Mon	Tue	Wed	Thu	Fri	Sat	Sun
smn	wide	vuossaargâ	majebaargâ	koskoho	tuorâstuv	vástuppeeivi	lávurduv	pasepeeivi
smn	abbreviated	vuo	maj	kos	tuo	vás	láv	pas
sms	wide	Mon	Tue	Wed	Thu	Fri	Sat	Sun
sms	abbreviated	Mon	Tue	Wed	Thu	Fri	Sat	Sun
sn	wide	Muvhuro	Chipiri	Chitatu	China	Chishanu	Mugovera	Svondo
sn	abbreviated	Muv	Chp	Cht	Chn	Chs	Mug	Svo
so	wide	Isniin	Talaado	Arbaco	Khamiis	Jimco	Sabti	Axad
so	abbreviated	Isn	Tldo	Arbc	Khms	Jmc	Sbti	Axd
so-DJ	wide	Isniin	Talaado	Arbaco	Khamiis	Jimco	Sabti	Axad
so-DJ	abbreviated	Isn	Tldo	Arbc	Khms	Jmc	Sbti	Axd
so-ET	wide	Isniin	Talaado	Arbaco	Khamiis	Jimco	Sabti	Axad
so-ET	abbreviated	Isn	Tldo	Arbc	Khms	Jmc	Sbti	Axd
so-KE	wide	Isniin	Talaado	Arbaco	Khamiis	Jimco	Sabti	Axad
so-KE	abbreviated	Isn	Tldo	Arbc	Khms	Jmc	Sbti	Axd
sq	wide	e hënë	e martë	e mërkurë	e enjte	e premte	e shtunë	e diel
sq	abbreviated	hën	mar	mër	enj	pre	sht	die
sq-MK	wide	e hënë	e martë	e mërkurë	e enjte	e premte	e shtunë	e diel
sq-MK	abbreviated	hën	mar	mër	enj	pre	sht	die
sq-XK	wide	e hënë	e martë	e mërkurë	e enjte	e premte	e shtunë	e diel
sq-XK	abbreviated	hën	mar	mër	enj	pre	sht	die
sr	wide	понедељак	уторак	среда	четвртак	петак	субота	недеља
sr	abbreviated	пон	уто	сре	чет	пет	суб	нед
sr-Cyrl	wide	понедељак	уторак	среда	четвртак	петак	субота	недеља
sr-Cyrl	abbreviated	пон	уто	сре	чет	пет	суб	нед
sr-Cyrl-BA	wide	понедјељак	уторак	сриједа	четвртак	петак	субота	недјеља
sr-Cyrl-BA	abbreviated	пон	уто	сри	чет	пет	суб	нед
sr-Cyrl-ME	wide	понедељак	уторак	сриједа	четвртак	петак	субота	недјеља
sr-Cyrl-ME	abbreviated	пон	уто	сре	чет	пет	суб	нед
sr-Cyrl-XK	wide	понедељак	уторак	среда	четвртак	петак	субота	недеља
sr-Cyrl-XK	abbreviated	пон	уто	сре	чет	пет	суб	нед
sr-Latn-BA	wide	ponedjeljak	utorak	srijeda	četvrtak	petak	subota	nedjelja
sr-Latn-BA	abbreviated	pon	uto	sri	čet	pet	sub	ned
sr-Latn-ME	wide	ponedeljak	utorak	srijeda	četvrtak	petak	subota	nedjelja
sr-Latn-ME	abbreviated	pon	uto	sre	čet	pet	sub	ned
sr-Latn-XK	wide	ponedeljak	utorak	sreda	četvrtak	petak	subota	nedelja
sr-Latn-XK	abbreviated	pon	uto	sre	čet	pet	sub	ned
ss	wide	Mon	Tue	Wed	Thu	Fri	Sat	Sun
ss	abbreviated	Mon	Tue	Wed	Thu	Fri	Sat	Sun
ss-SZ	wide	Mon	Tue	Wed	Thu	Fri	Sat	Sun
ss-SZ	abbreviated	Mon	Tue	Wed	Thu	Fri	Sat	Sun
ssy	wide	Mon	Tue	Wed	Thu	Fri	Sat	Sun
ssy	abbreviated	Mon	Tue	Wed	Thu	Fri	Sat	Sun
st	wide	Mantaha	Labobedi	Laboraro	Labone	Labohlano	Moqebelo	Sontaha
st	abbreviated	Mma	Bed	Rar	Ne	Hla	Moq	Son
st-LS	wide	Mantaha	Labobedi	Laboraro	Labone	Labohlano	Moqebelo	Sontaha
st-LS	abbreviated	Mma	Bed	Rar	Ne	Hla	Moq	Son
su	wide	Senén	Salasa	Rebo	Kemis	Jumaah	Saptu	Minggu
su	abbreviated	Sen	Sal	Reb	Kem	Jum	Sap	Mng
su-Latn	wide	Senén	Salasa	Rebo	Kemis	Jumaah	Saptu	Minggu
su-Latn	abbreviated	Sen	Sal	Reb	Kem	Jum	Sap	Mng
sv-AX	wide	måndag	tisdag	onsdag	torsdag	fredag	lördag	söndag
sv-AX	abbreviated	mån	tis	ons	tors	fre	lör	sön
sv-FI	wide	måndag	tisdag	onsdag	torsdag	fredag	lördag	söndag
sv-FI	abbreviated	mån	tis	ons	tors	fre	lör	sön
sw	wide	Jumatatu	Jumanne	Jumatano	Alhamisi	Ijumaa	Jumamosi	Jumapili
sw	abbreviated	Jumatatu	Jumanne	Jumatano	Alhamisi	Ijumaa	Jumamosi	Jumapili
sw-CD	wide	Jumatatu	Jumanne	Jumatano	Alhamisi	Ijumaa	Jumamosi	Jumapili
sw-CD	abbreviated	Jumatatu	Jumanne	Jumatano	Alhamisi	Ijumaa	Jumamosi	Jumapili
sw-KE	wide	Jumatatu	Jumanne	Jumatano	Alhamisi	Ijumaa	Jumamosi	Jumapili
sw-KE	abbreviated	Jumatatu	Jumanne	Jumatano	Alhamisi	Ijumaa	Jumamosi	Jumapili
sw-UG	wide	Jumatatu	Jumanne	Jumatano	Alhamisi	Ijumaa	Jumamosi	Jumapili
sw-UG	abbreviated	Jumatatu	Jumanne	Jumatano	Alhamisi	Ijumaa	Jumamosi	Jumapili
syr	wide	ܬܪܝܢܒܫܒܐ	ܬܠܬܒܫܒܐ	ܐܪܒܥܒܫܒܐ	ܚܡܫܒܫܒܐ	ܥܪܘܒܬܐ	ܫܒܬܐ	ܚܕܒܫܒܐ
syr	abbreviated	ܬܪܝܢ	ܬܠܬ	ܐܪܒܥ	ܚܡܫ	ܥܪܘ	ܫܒܬܐ	ܚܕ
syr-SY	wide	ܬܪܝܢܒܫܒܐ	ܬܠܬܒܫܒܐ	ܐܪܒܥܒܫܒܐ	ܚܡܫܒܫܒܐ	ܥܪܘܒܬܐ	ܫܒܬܐ	ܚܕܒܫܒܐ
syr-SY	abbreviated	ܬܪܝܢ	ܬܠܬ	ܐܪܒܥ	ܚܡܫ	ܥܪܘ	ܫܒܬܐ	ܚܕ
szl	wide	pyńdziałek	wtorek	strzoda	sztwortek	piōntek	sobota	niydziela
szl	abbreviated	pyńdziałek	wtorek	strzoda	sztwortek	piōntek	sobota	niydziela
ta	wide	திங்கள்	செவ்வாய்	புதன்	வியாழன்	வெள்ளி	சனி	ஞாயிறு
ta	abbreviated	திங்.	செவ்.	புத.	வியா.	வெள்.	சனி	ஞாயி.
ta-LK	wide	திங்கள்	செவ்வாய்	புதன்	வியாழன்	வெள்ளி	சனி	ஞாயிறு
ta-LK	abbreviated	திங்.	செவ்.	புத.	வியா.	வெள்.	சனி	ஞாயி.
ta-MY	wide	திங்கள்	செவ்வாய்	புதன்	வியாழன்	வெள்ளி	சனி	ஞாயிறு
ta-MY	abbreviated	திங்.	செவ்.	புத.	வியா.	வெள்.	சனி	ஞாயி.
ta-SG	wide	திங்கள்	செவ்வாய்	புதன்	வியாழன்	வெள்ளி	சனி	ஞாயிறு
ta-SG	abbreviated	திங்.	செவ்.	புத.	வியா.	வெள்.	சனி	ஞாயி.
te	wide	సోమవారం	మంగళవారం	బుధవారం	గురువారం	శుక్రవారం	శనివారం	ఆదివారం
te	abbreviated	సోమ	మంగళ	బుధ	గురు	శుక్ర	శని	ఆది
teo	wide	Nakaebarasa	Nakaare	Nakauni	Nakaung’on	Nakakany	Nakasabiti	Nakaejuma
teo	abbreviated	Bar	Aar	Uni	Ung	Kan	Sab	Jum
teo-KE	wide	Nakaebarasa	Nakaare	Nakauni	Nakaung’on	Nakakany	Nakasabiti	Nakaejuma
teo-KE	abbreviated	Bar	Aar	Uni	Ung	Kan	Sab	Jum
tg	wide	Душанбе	Сешанбе	Чоршанбе	Панҷшанбе	Ҷумъа	Шанбе	Якшанбе
tg	abbreviated	Дшб	Сшб	Чшб	Пшб	Ҷмъ	Шнб	Яшб
th	wide	วันจันทร์	วันอังคาร	วันพุธ	วันพฤหัสบดี	วันศุกร์	วันเสาร์	วันอาทิตย์
th	abbreviated	จ.	อ.	พ.	พฤ.	ศ.	ส.	อา.
ti	wide	ሰኑይ	ሰሉስ	ረቡዕ	ሓሙስ	ዓርቢ	ቀዳም	ሰንበት
ti	abbreviated	ሰኑ	ሰሉ	ረቡ	ሓሙ	ዓር	ቀዳ	ሰን
ti-ER	wide	ሰኑይ	ሰሉስ	ረቡዕ	ሓሙስ	ዓርቢ	ቀዳም	ሰንበት
ti-ER	abbreviated	ሰኑ	ሰሉ	ረቡ	ሓሙ	ዓር	ቀዳ	ሰን
tig	wide	Mon	Tue	Wed	Thu	Fri	Sat	Sun
tig	abbreviated	Mon	Tue	Wed	Thu	Fri	Sat	Sun
tk	wide	duşenbe	sişenbe	çarşenbe	penşenbe	anna	şenbe	ýekşenbe
tk	abbreviated	duş	siş	çar	pen	ann	şen	ýek
tn	wide	Mosupologo	Labobedi	Laboraro	Labone	Labotlhano	Matlhatso	Tshipi
tn	abbreviated	Mos	Labb	Labr	Labn	Labt	Mat	Tsh
tn-BW	wide	Mosupologo	Labobedi	Laboraro	Labone	Labotlhano	Matlhatso	Tshipi
tn-BW	abbreviated	Mos	Labb	Labr	Labn	Labt	Mat	Tsh
to	wide	Mōnite	Tūsite	Pulelulu	Tuʻapulelulu	Falaite	Tokonaki	Sāpate
to	abbreviated	Mōn	Tūs	Pul	Tuʻa	Fal	Tok	Sāp
tok	wide	suno esun #1	suno esun #2	suno esun #3	suno esun #4	suno esun #5	suno esun #6	suno esun #7
tok	abbreviated	suno esun #1	suno esun #2	suno esun #3	suno esun #4	suno esun #5	suno esun #6	suno esun #7
tpi	wide	Mande	Tunde	Trinde	Fonde	Fraide	Sarere	Sande
tpi	abbreviated	Mande	Tunde	Trinde	Fonde	Fraide	Sarere	Sande
tr-CY	wide	Pazartesi	Salı	Çarşamba	Perşembe	Cuma	Cumartesi	Pazar
tr-CY	abbreviated	Pzt	Sal	Çar	Per	Cum	Cmt	Paz
trv	wide	Mon	Tue	Wed	Thu	Fri	Sat	Sun
trv	abbreviated	Mon	Tue	Wed	Thu	Fri	Sat	Sun
trw	wide	Mon	Tue	Wed	Thu	Fri	Sat	Sun
trw	abbreviated	Mon	Tue	Wed	Thu	Fri	Sat	Sun
ts	wide	Musumbhunuku	Ravumbirhi	Ravunharhu	Ravumune	Ravuntlhanu	Mugqivela	Sonta
ts	abbreviated	Mus	Bir	Har	Ne	Tlh	Mug	Son
tt	wide	дүшәмбе	сишәмбе	чәршәмбе	пәнҗешәмбе	җомга	шимбә	якшәмбе
tt	abbreviated	дүш.	сиш.	чәр.	пәнҗ.	җом.	шим.	якш.
twq	wide	Atinni	Atalaata	Alarba	Alhamiisa	Alzuma	Asibti	Alhadi
twq	abbreviated	Ati	Ata	Ala	Alm	Alz	Asi	Alh
tyv	wide	Mon	Tue	Wed	Thu	Fri	Sat	Sun
tyv	abbreviated	Mon	Tue	Wed	Thu	Fri	Sat	Sun
tzm	wide	Aynas	Asinas	Akras	Akwas	Asimwas	Asiḍyas	Asamas
tzm	abbreviated	Ayn	Asn	Akr	Akw	Asm	Asḍ	Asa
ug	wide	دۈشەنبە	سەيشەنبە	چارشەنبە	پەيشەنبە	جۈمە	شەنبە	يەكشەنبە
ug	abbreviated	دۈ	سە	چا	پە	جۈ	شە	يە
und	wide	Mon	Tue	Wed	Thu	Fri	Sat	Sun
und	abbreviated	Mon	Tue	Wed	Thu	Fri	Sat	Sun
ur	wide	پیر	منگل	بدھ	جمعرات	جمعہ	ہفتہ	اتوار
ur	abbreviated	پیر	منگل	بدھ	جمعرات	جمعہ	ہفتہ	اتوار
ur-IN	wide	پیر	منگل	بدھ	جمعرات	جمعہ	ہفتہ	اتوار
ur-IN	abbreviated	پیر	منگل	بدھ	جمعرات	جمعہ	ہفتہ	اتوار
uz	wide	dushanba	seshanba	chorshanba	payshanba	juma	shanba	yakshanba
uz	abbreviated	Dush	Sesh	Chor	Pay	Jum	Shan	Yak
uz-Arab	wide	دوشنبه	سه‌شنبه	چهارشنبه	پنجشنبه	جمعه	شنبه	یکشنبه
uz-Arab	abbreviated	د.	س.	چ.	پ.	ج.	ش.	ی.
uz-Cyrl	wide	душанба	сешанба	чоршанба	пайшанба	жума	шанба	якшанба
uz-Cyrl	abbreviated	душ	сеш	чор	пай	жум	шан	якш
uz-Latn	wide	dushanba	seshanba	chorshanba	payshanba	juma	shanba	yakshanba
uz-Latn	abbreviated	Dush	Sesh	Chor	Pay	Jum	Shan	Yak
vai	wide	ꗳꗡꘉ	ꕚꕞꕚ	ꕉꕞꕒ	ꕉꔤꕆꕢ	ꕉꔤꕀꕮ	ꔻꔬꔳ	ꕞꕌꔵ
vai	abbreviated	ꗳꗡꘉ	ꕚꕞꕚ	ꕉꕞꕒ	ꕉꔤꕆꕢ	ꕉꔤꕀꕮ	ꔻꔬꔳ	ꕞꕌꔵ
vai-Latn	wide	tɛɛnɛɛ	talata	alaba	aimisa	aijima	siɓiti	lahadi
vai-Latn	abbreviated	tɛɛnɛɛ	talata	alaba	aimisa	aijima	siɓiti	lahadi
vai-Vaii	wide	ꗳꗡꘉ	ꕚꕞꕚ	ꕉꕞꕒ	ꕉꔤꕆꕢ	ꕉꔤꕀꕮ	ꔻꔬꔳ	ꕞꕌꔵ
vai-Vaii	abbreviated	ꗳꗡꘉ	ꕚꕞꕚ	ꕉꕞꕒ	ꕉꔤꕆꕢ	ꕉꔤꕀꕮ	ꔻꔬꔳ	ꕞꕌꔵ
ve	wide	Mon	Tue	Wed	Thu	Fri	Sat	Sun
ve	abbreviated	Mon	Tue	Wed	Thu	Fri	Sat	Sun
vec	wide	luni	marti	mèrcore	zoba	vènare	sabo	doménega
vec	abbreviated	lun	mar	mer	zob	vèn	sab	dom
vi	wide	Thứ Hai	Thứ Ba	Thứ Tư	Thứ Năm	Thứ Sáu	Thứ Bảy	Chủ Nhật
vi	abbreviated	Th 2	Th 3	Th 4	Th 5	Th 6	Th 7	CN
vmw	wide	nihiku noolempwa	namaanli	namararu	namaxexe	namathanu	esaabadu	ettiminku
vmw	abbreviated	nihiku noolempwa	namaanli	namararu	namaxexe	namathanu	esaabadu	ettiminku
vo	wide	Mon	Tue	Wed	Thu	Fri	Sat	Sun
vo	abbreviated	Mon	Tue	Wed	Thu	Fri	Sat	Sun
vun	wide	Jumatatuu	Jumanne	Jumatanu	Alhamisi	Ijumaa	Jumamosi	Jumapilyi
vun	abbreviated	Jtt	Jnn	Jtn	Alh	Iju	Jmo	Jpi
wa	wide	Mon	Tue	Wed	Thu	Fri	Sat	Sun
wa	abbreviated	Mon	Tue	Wed	Thu	Fri	Sat	Sun
wae	wide	Mäntag	Zištag	Mittwuč	Fróntag	Fritag	Samštag	Sunntag
wae	abbreviated	Män	Ziš	Mit	Fró	Fri	Sam	Sun
wal	wide	Mon	Tue	Wed	Thu	Fri	Sat	Sun
wal	abbreviated	Mon	Tue	Wed	Thu	Fri	Sat	Sun
wbp	wide	Mon	Tue	Wed	Thu	Fri	Sat	Sun
wbp	abbreviated	Mon	Tue	Wed	Thu	Fri	Sat	Sun
wo	wide	Altine	Talaata	Àlarba	Alxamis	Àjjuma	Aseer	Dibéer
wo	abbreviated	Alt	Tal	Àla	Alx	Àjj	Ase	Dib
xh	wide	Mvulo	Lwesibini	Lwesithathu	Lwesine	Lwesihlanu	Mgqibelo	Cawe
xh	abbreviated	Mvu	Lwesb	Tha	Sin	Hla	Mgq	Caw
xnr	wide	सोआर	मंगलवार	बुधवार	वीरवार	शुक्करवार	शनिच्चरवार	तोआर
xnr	abbreviated	सोआर	मंगल	बुध	वीर	शुक्कर	शनि	तोआर
xog	wide	Balaza	Owokubili	Owokusatu	Olokuna	Olokutaanu	Olomukaaga	Sabiiti
xog	abbreviated	Bala	Kubi	Kusa	Kuna	Kuta	Muka	Sabi
yav	wide	móndie	muányáŋmóndie	metúkpíápɛ	kúpélimetúkpiapɛ	feléte	séselé	sɔ́ndiɛ
yav	abbreviated	md	mw	et	kl	fl	ss	sd
yi	wide	מאָנטיק	דינסטיק	מיטוואך	דאנערשטיק	פֿרײַטיק	שבת	זונטיק
yi	abbreviated	מאָנטיק	דינסטיק	מיטוואך	דאנערשטיק	פֿרײַטיק	שבת	זונטיק
yo	wide	Ọjọ́ Ajé	Ọjọ́ Ìsẹ́gun	Ọjọ́rú	Ọjọ́bọ	Ọjọ́ Ẹtì	Ọjọ́ Àbámẹ́ta	Ọjọ́ Àìkú
yo	abbreviated	Ajé	Ìsẹ́gun	Ọjọ́rú	Ọjọ́bọ	Ẹtì	Àbámẹ́ta	Àìkú
yo-BJ	wide	Ɔjɔ́ Ajé	Ɔjɔ́ Ìsɛ́gun	Ɔjɔ́rú	Ɔjɔ́bɔ	Ɔjɔ́ Ɛtì	Ɔjɔ́ Àbámɛ́ta	Ɔjɔ́ Àìkú
yo-BJ	abbreviated	Ajé	Ìsɛ́gun	Ɔjɔ́rú	Ɔjɔ́bɔ	Ɛtì	Àbámɛ́ta	Àìkú
yrl	wide	murakipí	murakí-mukũi	murakí-musapíri	supapá	yukuakú	saurú	mituú
yrl	abbreviated	mur	mmk	mms	sup	yuk	sau	mit
yrl-CO	wide	murakipí	murakí-mukũi	murakí-musapíri	supapá	yukuakú	saurú	mituú
yrl-CO	abbreviated	mur	mmk	mms	sup	yuk	sau	mit
yrl-VE	wide	murakipí	murakí-mukũi	murakí-musapíri	supapá	yukuakú	saurú	mituú
yrl-VE	abbreviated	mur	mmk	mms	sup	yuk	sau	mit
za	wide	singhgizit	singhgizngeih	singhgizsam	singhgizseiq	singhgizhaj	singhgizroek	ngoenzsinghgiz
za	abbreviated	singhgizit	singhgizngeih	singhgizsam	singhgizseiq	singhgizhaj	singhgizroek	ngoenzsinghgiz
zgh	wide	ⴰⵢⵏⴰⵙ	ⴰⵙⵉⵏⴰⵙ	ⴰⴽⵕⴰⵙ	ⴰⴽⵡⴰⵙ	ⴰⵙⵉⵎⵡⴰⵙ	ⴰⵙⵉⴹⵢⴰⵙ	ⴰⵙⴰⵎⴰⵙ
zgh	abbreviated	ⴰⵢⵏ	ⴰⵙⵉ	ⴰⴽⵕ	ⴰⴽⵡ	ⴰⵙⵉⵎ	ⴰⵙⵉⴹ	ⴰⵙⴰ
zu	wide	UMsombuluko	ULwesibili	ULwesithathu	ULwesine	ULwesihlanu	UMgqibelo	ISonto
zu	abbreviated	Mso	Bil	Tha	Sin	Hla	Mgq	Son
